Region,Sub Region,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,Northern Africa,Algeria,,,,,,,,,,,,1,2,32,28
Africa,Northern Africa,Egypt,9,9,13,11,,,4,12,,31,46,116,72,81,38
Africa,Northern Africa,Morocco,,,,,,,,,,,,,,,11
Africa,Northern Africa,Tunisia,,,,,,,,,,87,,,,134,195
Africa,Sub-Saharan Africa,Angola,,,,,,,15,7,,,,,,,
Africa,Sub-Saharan Africa,Benin,406,612,248,198,,,,,,159,,,,,535
Africa,Sub-Saharan Africa,Burkina Faso,644,921,"1,253","1,043",402,203,788,588,"1,282",,,550,,,
Africa,Sub-Saharan Africa,Burundi,,,,,,,129,10,,,,,,,
Africa,Sub-Saharan Africa,Cameroon,,,,,,,,,,5,11,,,67,
Africa,Sub-Saharan Africa,Congo,,,,,,,,16,57,,,,,,
Africa,Sub-Saharan Africa,Guinea,,,,,,,,,,,16,22,20,25,30
Africa,Sub-Saharan Africa,Kenya,,,,,,,,,,,,143,318,187,352
Africa,Sub-Saharan Africa,Lesotho,,,,,,,,14,,15,4,,6,,
Africa,Sub-Saharan Africa,Liberia,,17,13,12,,,,,,,6,,,,
Africa,Sub-Saharan Africa,Malawi,,,,,,,,,,96,119,30,58,64,
Africa,Sub-Saharan Africa,Mauritius,,,,,12,12,8,5,,15,16,10,22,16,9
Africa,Sub-Saharan Africa,Mozambique,,,4,2,1,,,,,30,26,27,,,
Africa,Sub-Saharan Africa,Namibia,,,,,,,,,,4,,,,4,
Africa,Sub-Saharan Africa,Niger,,,,,,,,,,,,6,108,67,
Africa,Sub-Saharan Africa,Nigeria,,73,335,348,686,"1,269","1,250","1,044",976,744,968,"1,030",896,"1,017",901
Africa,Sub-Saharan Africa,Rwanda,,,,,,,,,,,,25,50,84,30
Africa,Sub-Saharan Africa,Senegal,,,,,,,,,2,,,2,4,,
Africa,Sub-Saharan Africa,Sierra Leone,,,,,45,,,5,,,,1,6,,10
Africa,Sub-Saharan Africa,South Africa,,22,32,61,,,,,87,87,64,55,,,
Africa,Sub-Saharan Africa,Swaziland,,,,,,,,2,13,42,,3,8,1,
Africa,Sub-Saharan Africa,Togo,600,620,611,648,315,509,418,357,278,,,76,,,
Africa,Sub-Saharan Africa,Uganda,,120,65,84,172,,,,64,,837,79,,,
Africa,Sub-Saharan Africa,United Republic of Tanzania,,,,,,,,,,9,,,,,
Africa,Sub-Saharan Africa,Zambia,,2,27,8,,,30,,,,,,,,
Africa,Sub-Saharan Africa,Zimbabwe,,,,,,,,,,,5,,,,
Africa,Western Africa,Cote d'Ivoire,,,80,113,143,70,,,,,,15,10,16,7
Americas,Latin America and the Caribbean,Antigua and Barbuda,,,,,,,,,,,,7,8,,
Americas,Latin America and the Caribbean,Argentina,,,30,63,79,186,422,263,150,303,374,375,243,414,97
Americas,Latin America and the Caribbean,Bahamas,,,,,,,,,,,,3,,,
Americas,Latin America and the Caribbean,Barbados,,,,,,,,,,,5,,,,
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),,,32,52,36,270,58,24,,331,239,183,251,301,145
Americas,Latin America and the Caribbean,Brazil,,,,,,,,,,,,,"1,228","1,054",
Americas,Latin America and the Caribbean,Chile,,,,,,147,,17,131,7,79,7,7,13,
Americas,Latin America and the Caribbean,Colombia,,,,,78,53,53,53,23,35,60,72,38,76,52
Americas,Latin America and the Caribbean,Costa Rica,,,,,3,,10,83,,22,29,5,3,5,60
Americas,Latin America and the Caribbean,Cuba,,,,,,,,,,13,14,16,11,6,
Americas,Latin America and the Caribbean,Dominican Republic,,,,,,,,,54,72,300,147,183,157,25
Americas,Latin America and the Caribbean,Ecuador,,,,,,,,50,96,114,86,75,35,54,68
Americas,Latin America and the Caribbean,El Salvador,,14,41,96,49,78,51,72,68,70,84,86,45,49,28
Americas,Latin America and the Caribbean,Guatemala,,,,,,7,17,14,57,192,234,273,482,484,333
Americas,Latin America and the Caribbean,Guyana,,,,,5,1,6,3,17,,20,40,59,98,110
Americas,Latin America and the Caribbean,Honduras,,,,,,,,,,16,70,7,59,83,47
Americas,Latin America and the Caribbean,Jamaica,,,,,1,3,,7,7,24,5,,,,
Americas,Latin America and the Caribbean,Mexico,,,4,7,10,56,47,225,122,125,207,270,"2,015",986,725
Americas,Latin America and the Caribbean,Nicaragua,,,10,29,61,,36,40,85,,41,52,,,
Americas,Latin America and the Caribbean,Panama,,,,,,,,,,,9,16,50,84,34
Americas,Latin America and the Caribbean,Paraguay,,,44,22,35,50,88,63,148,84,66,108,132,105,
Americas,Latin America and the Caribbean,Peru,,4,12,46,162,211,196,253,286,713,634,255,411,705,445
Americas,Latin America and the Caribbean,Suriname,,,,,,,20,2,2,5,9,,,,
Americas,Latin America and the Caribbean,Trinidad and Tobago,,,,,1,7,10,8,1,3,13,5,2,,
Americas,Latin America and the Caribbean,Uruguay,,,,,,2,,,,,,138,95,91,73
Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,6,16,24,13,5,5,16,42,34,46,12,6,37,14
Americas,Northern America,Canada,,,,4,9,8,40,47,115,55,63,142,237,231,62
Americas,Northern America,United States of America,151,163,231,234,303,317,380,541,564,469,"2,315","3,308","3,885","5,582",
Asia,Central Asia,Kazakhstan,,,,,,,,134,141,153,,,,,
Asia,Central Asia,Kyrgyzstan,134,121,120,104,,,,22,,,,18,10,8,4
Asia,Central Asia,Tajikistan,,,151,82,39,25,19,52,,12,22,51,39,29,22
Asia,Central Asia,Turkmenistan,,,4,8,,,,,,,,22,6,6,2
Asia,Central Asia,Uzbekistan,139,217,393,584,,,,"2,325","1,635","1,653","1,392","1,279","1,006",774,573
Asia,Eastern Asia,"China, Taiwan Province of China",,,,,,106,329,319,131,462,366,292,192,156,
Asia,Eastern Asia,Japan,,,115,47,43,36,17,43,45,27,17,25,54,50,
Asia,Eastern Asia,Mongolia,,5,21,20,31,70,151,,,21,1,29,25,60,118
Asia,South-eastern Asia,Brunei Darussalam,,,,,,,,,6,1,,,,1,
Asia,South-eastern Asia,Cambodia,,,,,42,,,,,,,,,,
Asia,South-eastern Asia,Indonesia,,,,,574,607,275,143,,292,158,605,441,,
Asia,South-eastern Asia,Lao People's Democratic Republic,81,66,254,259,264,235,155,145,,,,157,107,,
Asia,South-eastern Asia,Malaysia,,,,,,,,,,,,303,305,676,419
Asia,South-eastern Asia,Myanmar,,,,,271,303,302,381,256,261,256,309,643,307,355
Asia,South-eastern Asia,Philippines,220,214,184,359,144,218,113,207,537,763,795,"1,124",761,603,203
